localdata,globaldata,date,x,y,localylabel,globalylabel,annotation,title,imgsrctext,imgsrcurl,localdatasrctext,localdatasrcurl,globaldatasrctext,globaldatasrcurl,moreinfo
null,-0.055688407,11/19/1903,null,null,Lake level measured at Bol (meters about sea level),Sahel rainfall anomalies (cm),,Changing precipitation patterns,USGS Earthshots,http://earthshots.usgs.gov/earthshots/Lake-Chad-West-Africa#ad-image-0,"Cogent Geoscience 1, 2013",http://dx.doi.org/10.1080/23312041.2015.1117829 ,"Cogent Geoscience 1, 2013",http://dx.doi.org/10.1080/23312041.2015.1117829 ,"Lake Chad sits on the border of Nigeria, Niger, Chad, and Cameroon. Lake Chad was once the sixth largest lake in the world but shrunk dramatically since the 1960's due to increased human water demand and a regional decline in precipitation caused by climate change. This series of satellite images show the disappearance of the north basin as the lake shrinks. The green regions are wetlands that have replaced the lake and the ripples to the east are sand dunes."
null,-0.061606224,4/2/1904,null,null,,,,,,,,,,,
null,-0.030052749,6/4/1905,null,null,,,,,,,,,,,
null,-0.039915779,7/19/1905,null,null,,,,,,,,,,,
281.1071797,null,12/29/1905,null,null,,,,,,,,,,,
null,-0.085269276,2/7/1906,null,null,,,,,,,,,,,
null,-0.030052749,7/15/1906,null,null,,,,,,,,,,,
null,-0.022170545,9/21/1906,null,null,,,,,,,,,,,
null,-0.016252727,9/21/1906,null,null,,,,,,,,,,,
null,-0.012307515,2/26/1907,null,null,,,,,,,,,,,
281.1071797,null,5/9/1907,null,null,,,,,,,,,,,
null,-0.051743195,9/16/1907,null,null,,,,,,,,,,,
null,-0.057661013,10/9/1907,null,null,,,,,,,,,,,
null,-0.10301451,1/30/1908,null,null,,,,,,,,,,,
281.0942942,null,5/7/1908,null,null,,,,,,,,,,,
null,-0.132595379,5/21/1908,null,null,,,,,,,,,,,
null,-0.126677562,10/4/1908,null,null,,,,,,,,,,,
281.0658278,null,12/2/1908,null,null,,,,,,,,,,,
null,-0.138513197,5/17/1909,null,null,,,,,,,,,,,
null,-0.150340613,7/23/1909,null,null,,,,,,,,,,,
281.0559007,null,9/26/1909,null,null,,,,,,,,,,,
null,-0.193721505,12/28/1909,null,null,,,,,,,,,,,
null,-0.209494133,2/11/1910,null,null,,,,,,,,,,,
281.0604698,null,3/14/1910,null,null,,,,,,,,,,,
281.0677343,null,7/6/1910,null,null,,,,,,,,,,,
null,-0.331754602,12/1/1910,null,null,,,,,,,,,,,
null,-0.329781996,12/24/1910,null,null,,,,,,,,,,,
null,-0.331754602,12/24/1910,null,null,,,,,,,,,,,
null,-0.34752723,1/15/1911,null,null,,,,,,,,,,,
281.1028736,null,3/20/1911,null,null,,,,,,,,,,,
null,-0.375135494,3/24/1911,null,null,,,,,,,,,,,
null,-0.34752723,5/30/1911,null,null,,,,,,,,,,,
281.115644,null,7/15/1911,null,null,,,,,,,,,,,
null,-0.333727208,8/6/1911,null,null,,,,,,,,,,,
null,-0.317946361,9/20/1911,null,null,,,,,,,,,,,
281.1407083,null,10/29/1911,null,null,,,,,,,,,,,
null,-0.286401105,1/11/1912,null,null,,,,,,,,,,,
281.1884701,null,4/5/1912,null,null,,,,,,,,,,,
281.1819616,null,4/21/1912,null,null,,,,,,,,,,,
281.1979699,null,5/5/1912,null,null,,,,,,,,,,,
281.2226561,null,6/23/1912,null,null,,,,,,,,,,,
281.2585843,null,11/15/1912,null,null,,,,,,,,,,,
null,-0.20555714,1/5/1913,null,null,,,,,,,,,,,
null,-0.20555714,3/14/1913,null,null,,,,,,,,,,,
null,-0.300209346,1/1/1914,null,null,,,,,,,,,,,
281.3088443,null,1/2/1914,null,null,,,,,,,,,,,
null,-0.30809977,1/24/1914,null,null,,,,,,,,,,,
null,-0.319927186,2/15/1914,null,null,,,,,,,,,,,
null,-0.319927186,4/1/1914,null,null,,,,,,,,,,,
null,-0.335699814,4/1/1914,null,null,,,,,,,,,,,
null,-0.315990193,8/14/1914,null,null,,,,,,,,,,,
281.3398254,null,8/28/1914,null,null,,,,,,,,,,,
281.3552255,null,1/31/1915,null,null,,,,,,,,,,,
null,-0.306127164,5/12/1915,null,null,,,,,,,,,,,
null,-0.31795458,12/1/1915,null,null,,,,,,,,,,,
null,-0.310072376,1/15/1916,null,null,,,,,,,,,,,
null,-0.304154558,1/15/1916,null,null,,,,,,,,,,,
null,-0.292327142,2/29/1916,null,null,,,,,,,,,,,
null,-0.296264134,3/22/1916,null,null,,,,,,,,,,,
null,-0.292327142,4/14/1916,null,null,,,,,,,,,,,
null,-0.286409324,5/6/1916,null,null,,,,,,,,,,,
null,-0.286409324,5/29/1916,null,null,,,,,,,,,,,
281.3577237,null,6/28/1916,null,null,,,,,,,,,,,
281.2939372,null,8/25/1916,null,null,,,,,,,,,,,
281.3354042,null,9/3/1916,null,null,,,,,,,,,,,
281.323735,null,9/11/1916,null,null,,,,,,,,,,,
null,-0.243028433,10/11/1916,null,null,,,,,,,,,,,
null,-0.229228411,11/25/1916,null,null,,,,,,,,,,,
281.267591,null,11/28/1916,null,null,,,,,,,,,,,
null,-0.215420169,12/18/1916,null,null,,,,,,,,,,,
281.2684128,null,4/12/1917,null,null,,,,,,,,,,,
281.2846347,null,7/2/1917,null,null,,,,,,,,,,,
null,-0.089222707,9/14/1917,null,null,,,,,,,,,,,
null,-0.087250101,9/14/1917,null,null,,,,,,,,,,,
null,-0.099077517,11/21/1917,null,null,,,,,,,,,,,
281.3745538,null,1/28/1918,null,null,,,,,,,,,,,
281.3911044,null,3/30/1918,null,null,,,,,,,,,,,
281.3989935,null,4/10/1918,null,null,,,,,,,,,,,
281.403579,null,7/6/1918,null,null,,,,,,,,,,,
null,-0.016260946,7/27/1918,null,null,,,,,,,,,,,
null,-0.006397917,10/2/1918,null,null,,,,,,,,,,,
null,0.001484288,10/25/1918,null,null,,,,,,,,,,,
281.4101861,null,2/17/1919,null,null,,,,,,,,,,,
null,0.027119945,3/9/1919,null,null,,,,,,,,,,,
281.5083887,null,9/26/1919,null,null,,,,,,,,,,,
281.6040109,null,11/30/1919,null,null,,,,,,,,,,,
281.6197891,null,2/28/1920,null,null,,,,,,,,,,,
281.6203315,null,3/26/1920,null,null,,,,,,,,,,,
281.6338908,null,4/8/1920,null,null,,,,,,,,,,,
null,0.050782997,4/18/1920,null,null,,,,,,,,,,,
281.6513454,null,5/29/1920,null,null,,,,,,,,,,,
null,0.042900792,6/24/1920,null,null,,,,,,,,,,,
281.6906429,null,9/19/1920,null,null,,,,,,,,,,,
null,0.015292529,11/6/1920,null,null,,,,,,,,,,,
null,0.007402105,2/5/1921,null,null,,,,,,,,,,,
null,0.060646026,5/28/1921,null,null,,,,,,,,,,,
281.742037,null,8/24/1921,null,null,,,,,,,,,,,
null,0.054728208,10/10/1921,null,null,,,,,,,,,,,
null,0.074446048,7/8/1922,null,null,,,,,,,,,,,
null,0.072473442,7/8/1922,null,null,,,,,,,,,,,
