 SUMMARY10.MONTHLY.MASS.DAT
 DOI: 10.3334/CDIAC/ffe.MonthlyMass.2015
  All values should be zero or positive.
  Mass units are 10^6 metric tonnes C (Tg C).                                    
 year  mingrid  maxgrid  gridsum
 1950   0.0      2.5     130.00
 1951   0.0      2.5     141.32
 1952   0.0      2.5     145.01
 1953   0.0      2.6     146.30
 1954   0.0      2.5     149.66
 1955   0.0      2.7     165.25
 1956   0.0      2.8     176.74
 1957   0.0      2.8     183.72
 1958   0.0      2.6     186.02
 1959   0.0      2.7     197.81
 1960   0.0      2.9     207.83
 1961   0.0      2.9     208.14
 1962   0.0      2.8     211.85
 1963   0.0      3.1     228.71
 1964   0.0      3.1     240.30
 1965   0.0      3.3     249.83
 1966   0.0      3.5     256.91
 1967   0.0      3.6     269.48
 1968   0.0      3.7     283.61
 1969   0.0      3.9     302.01
 1970   0.0      4.3     329.87
 1971   0.0      4.2     337.16
 1972   0.0      4.4     355.40
 1973   0.0      4.6     375.84
 1974   0.0      4.5     372.91
 1975   0.0      4.3     377.21
 1976   0.0      4.5     399.01
 1977   0.0      4.6     409.04
 1978   0.0      4.7     421.80
 1979   0.0      4.8     435.24
 1980   0.0      4.6     437.42
 1981   0.0      4.5     426.11
 1982   0.0      4.2     420.15
 1983   0.0      4.2     424.38
 1984   0.0      4.3     438.64
 1985   0.0      4.4     453.20
 1986   0.0      4.3     460.19
 1987   0.0      4.7     478.51
 1988   0.0      4.7     494.99
 1989   0.0      4.8     505.53
 1990   0.0      4.8     495.41
 1991   0.0      4.7     503.58
 1992   0.0      4.8     497.61
 1993   0.0      4.9     498.59
 1994   0.0      4.9     503.21
 1995   0.0      5.0     509.60
 1996   0.0      5.2     527.82
 1997   0.0      5.4     537.58
 1998   0.0      5.3     522.01
 1999   0.0      5.4     529.24
 2000   0.0      5.5     546.40
 2001   0.0      5.5     548.32
 2002   0.0      5.6     566.84
 2003   0.0      5.6     599.23
 2004   0.0      5.6     622.62
 2005   0.0      5.5     631.17
 2006   0.0      5.7     667.52
 2007   0.0      5.7     682.23
 2008   0.0      5.4     689.19
 2009   0.0      5.1     695.86
 2010   0.0      5.4     728.89
 2011   0.0      5.2     756.00
