localdata,globaldata,date,x,y
6461538.462,3230770.231,9/1/79,0,0
6437869.822,3218935.911,9/1/81,-720,0
6804733.728,3402367.864,9/1/83,0,-405
6153846.154,3076924.077,9/1/85,-720,-405
6236686.391,3118344.196,9/1/87,0,-810
6284023.669,3142012.835,9/1/89,-720,-810
5751479.29,2875740.645,9/1/91,-1440,0
5467455.621,2733728.811,9/1/93,-1440,-405
5550295.858,2775148.929,9/1/95,-1440,-810
6142011.834,3071006.917,9/1/97,0,-1215
5195266.272,2597634.136,9/1/99,-720,-1215
5905325.444,2952663.722,9/1/01,-1440,-1215
5396449.704,2698225.852,9/1/03,0,-1620
4958579.882,2479290.941,9/1/05,-720,-1620
3727810.651,1863906.326,9/1/07,-1440,-1620
4556213.018,2278107.509,9/1/09,-2160,0
3692307.692,1846154.846,9/1/11,-2160,-405
3692307.692,1846154.846,9/1/13,-2160,-810
3692307.692,1846154.846,9/1/15,-2160,-1215
