fakelocaldata,fakeglobaldata,date,x,y
4.646272787,7.8,11/07/1984,0,0
2.442117602,5.27,8/25/1986,-720,0
6.135718481,2.599,10/15/1987,0,-480
8.421077992,2.288,9/18/1989,-720,-480
1.793043436,9.03,10/10/1991,0,-960
8.962989139,4.209,9/29/1993,-720,-960
7.593723789,8.345,11/19/1994,-1440,0
9.018606208,1.660,10/23/1996,-1440,-480
3.193154426,7.763,10/24/1999,-1440,-960
0.939118783,3.578,10/29/2001,0,-1440
8.947049912,6.892,9/27/2004,-720,-1440
6.060687404,8.834,11/04/2006,-1440,-1440
9.205391134,8.290,9/20/2007,-2160,0
8.67061266,2.798,8/24/2009,-2160,-480
3.110219635,3.892,10/01/2011,-2160,-960
4.400499829,4.982,10/25/2014,-2160,-1440
5.101693041,7.291,10/12/2015,0,-1920
