localdata,globaldata,date,x,y,totalimgwidth,totalimgheight,singleimgwidth,singleimgheight,localylabel,globalylabel,annotation,title,imgsrctext,imgsrcurl,localdatasrctext,localdatasrcurl,globaldatasrctext,globaldatasrcurl,moreinfo
46.88198767,null,4/1/1930,null,null,2880,2160,720,720,Snow water equivalent (cm) ,Total water storage anomaly (mm equivalent water height),,Sierra Nevada snowpack and California drought,NASA Earth Observatory,http://earthobservatory.nasa.gov/Features/WorldOfChange/sierra_nevada.php,Belmecheri et al. (2016),http://sci-hub.cc/10.1038/nclimate2809,Famiglietti (2014),http://sci-hub.cc/10.1038/nclimate2425,Sierra Nevadas and Central Valley of California.
29.11327479,null,4/1/1931,null,null,,,,,,,,,,,,,,,
78.76418713,null,4/1/1932,null,null,,,,,,,,,,,,,,,
54.62242106,null,4/1/1933,null,null,,,,,,,,,,,,,,,
25.27613204,null,4/1/1934,null,null,,,,,,,,,,,,,,,
77.37700143,null,4/1/1935,null,null,,,,,,,,,,,,,,,
88.99735016,null,4/1/1936,null,null,,,,,,,,,,,,,,,
102.2698862,null,4/1/1937,null,null,,,,,,,,,,,,,,,
94.3182021,null,4/1/1938,null,null,,,,,,,,,,,,,,,
44.1031814,null,4/1/1939,null,null,,,,,,,,,,,,,,,
79.1389495,null,4/1/1940,null,null,,,,,,,,,,,,,,,
88.54090172,null,4/1/1941,null,null,,,,,,,,,,,,,,,
76.24137593,null,4/1/1942,null,null,,,,,,,,,,,,,,,
70.40843239,null,4/1/1943,null,null,,,,,,,,,,,,,,,
64.08226553,null,4/1/1944,null,null,,,,,,,,,,,,,,,
76.50090836,null,4/1/1945,null,null,,,,,,,,,,,,,,,
64.58579447,null,4/1/1946,null,null,,,,,,,,,,,,,,,
41.28436068,null,4/1/1947,null,null,,,,,,,,,,,,,,,
42.18082624,null,4/1/1948,null,null,,,,,,,,,,,,,,,
71.26052362,null,4/1/1949,null,null,,,,,,,,,,,,,,,
63.03553752,null,4/1/1950,null,null,,,,,,,,,,,,,,,
60.86147122,null,4/1/1951,null,null,,,,,,,,,,,,,,,
114.7395028,null,4/1/1952,null,null,,,,,,,,,,,,,,,
59.34402694,null,4/1/1953,null,null,,,,,,,,,,,,,,,
61.31628574,null,4/1/1954,null,null,,,,,,,,,,,,,,,
54.55325584,null,4/1/1955,null,null,,,,,,,,,,,,,,,
75.72114718,null,4/1/1956,null,null,,,,,,,,,,,,,,,
61.09594689,null,4/1/1957,null,null,,,,,,,,,,,,,,,
81.11549367,null,4/1/1958,null,null,,,,,,,,,,,,,,,
39.71538804,null,4/1/1959,null,null,,,,,,,,,,,,,,,
44.18722841,null,4/1/1960,null,null,,,,,,,,,,,,,,,
49.00914156,null,4/1/1961,null,null,,,,,,,,,,,,,,,
77.23135823,null,4/1/1962,null,null,,,,,,,,,,,,,,,
36.96353103,null,4/1/1963,null,null,,,,,,,,,,,,,,,
38.90909867,null,4/1/1964,null,null,,,,,,,,,,,,,,,
63.80664927,null,4/1/1965,null,null,,,,,,,,,,,,,,,
61.13070948,null,4/1/1966,null,null,,,,,,,,,,,,,,,
75.87419875,null,4/1/1967,null,null,,,,,,,,,,,,,,,
73.35492398,null,4/1/1968,null,null,,,,,,,,,,,,,,,
115.5825363,null,4/1/1969,null,null,,,,,,,,,,,,,,,
53.03197081,null,4/1/1970,null,null,,,,,,,,,,,,,,,
61.78176998,null,4/1/1971,null,null,,,,,,,,,,,,,,,
51.66292252,null,4/1/1972,null,null,,,,,,,,,,,,,,,
86.86750692,null,4/1/1973,null,null,,,,,,,,,,,,,,,
78.42886035,null,4/1/1974,null,null,,,,,,,,,,,,,,,
68.48913612,null,4/1/1975,null,null,,,,,,,,,,,,,,,
26.59739048,null,4/1/1976,null,null,,,,,,,,,,,,,,,
32.53533275,null,4/1/1977,null,null,,,,,,,,,,,,,,,
94.63131487,null,4/1/1978,null,null,,,,,,,,,,,,,,,
75.24793678,null,4/1/1979,null,null,,,,,,,,,,,,,,,
80.5106356,null,4/1/1980,null,null,,,,,,,,,,,,,,,
59.43171084,null,4/1/1981,null,null,,,,,,,,,,,,,,,
109.8671704,null,4/1/1982,null,null,,,,,,,,,,,,,,,
117.4866678,null,4/1/1983,null,null,,,,,,,,,,,,,,,
57.57941993,null,4/1/1984,null,null,,,,,,,,,,,,,,,
73.20142547,null,4/1/1985,null,null,,,,,,,,,,,,,,,
78.07407504,null,4/1/1986,null,null,,,,,,,,,,,,,,,
40.95657057,null,4/1/1987,null,null,,,,,,,,,,,,,,,
26.47647514,null,4/1/1988,null,null,,,,,,,,,,,,,,,
53.16811334,null,4/1/1989,null,null,,,,,,,,,,,,,,,
36.03562975,null,4/1/1990,null,null,,,,,,,,,,,,,,,
52.4886034,null,4/1/1991,null,null,,,,,,,,,,,,,,,
54.75871538,null,4/1/1992,null,null,,,,,,,,,,,,,,,
84.02139684,null,4/1/1993,null,null,,,,,,,,,,,,,,,
57.17421973,null,4/1/1994,null,null,,,,,,,,,,,,,,,
107.9198522,null,4/1/1995,null,null,,,,,,,,,,,,,,,
69.26526792,null,4/1/1996,null,null,,,,,,,,,,,,,,,
76.97740655,null,4/1/1997,null,null,,,,,,,,,,,,,,,
93.1291495,null,4/1/1998,null,null,,,,,,,,,,,,,,,
68.18178092,null,4/1/1999,null,null,,,,,,,,,,,,,,,
60.41474769,null,4/1/2000,null,null,,,,,,,,,,,,,,,
44.45483635,null,4/1/2001,null,null,,,,,,,,,,,,,,,
61.61518104,null,4/1/2002,null,null,,,,,,,,,,,,,,,
null,-6.128676471,4/20/2002,null,null,,,,,,,,,,,,,,,
null,-18.77941176,4/25/2002,null,null,,,,,,,,,,,,,,,
null,-33.0130719,5/12/2002,null,null,,,,,,,,,,,,,,,
null,-45.30036765,5/19/2002,null,null,,,,,,,,,,,,,,,
null,-57.62058824,5/29/2002,null,null,,,,,,,,,,,,,,,
null,-72.25207391,6/17/2002,null,null,,,,,,,,,,,,,,,
null,-84.54466231,7/1/2002,null,null,,,,,,,,,,,,,,,
null,-94.83578431,7/7/2002,null,null,,,,,,,,,,,,,,,
null,-109.9558824,7/3/2002,null,null,,,,,,,,,,,,,,,
null,-122.7205882,7/12/2002,null,null,,,,,,,,,,,,,,,
null,-132.6132353,8/14/2002,null,null,,,,,,,,,,,,,,,
null,-119.8941176,9/23/2002,null,null,,,,,,,,,,,,,,,
null,-109.1270053,11/4/2002,null,null,,,,,,,,,,,,,,,
null,-111.5514706,12/24/2002,null,null,,,,,,,,,,,,,,,
null,-120.6069519,2/12/2003,null,null,,,,,,,,,,,,,,,
48.8632689,null,4/1/2003,null,null,,,,,,,,,,,,,,,
null,-110.9090909,4/11/2003,null,null,,,,,,,,,,,,,,,
null,-111.3235294,6/8/2003,null,null,,,,,,,,,,,,,,,
null,-116.7941176,8/5/2003,null,null,,,,,,,,,,,,,,,
null,-121.1042781,10/2/2003,null,null,,,,,,,,,,,,,,,
null,-118.4104278,11/28/2003,null,null,,,,,,,,,,,,,,,
null,-111.1163102,1/25/2004,null,null,,,,,,,,,,,,,,,
null,-102.6161765,3/21/2004,null,null,,,,,,,,,,,,,,,
67.12584425,null,4/1/2004,null,null,,,,,,,,,,,,,,,
null,-92.75668449,5/15/2004,null,null,,,,,,,,,,,,,,,
null,-87.74197861,7/12/2004,null,null,,,,,,,,,,,,,,,
null,-84.63368984,9/8/2004,null,null,,,,,,,,,,,,,,,
null,-79.86764706,11/5/2004,null,null,,,,,,,,,,,,,,,
null,-71.09191176,12/25/2004,null,null,,,,,,,,,,,,,,,
null,-61.50802139,2/13/2005,null,null,,,,,,,,,,,,,,,
93.06526416,null,4/1/2005,null,null,,,,,,,,,,,,,,,
null,-51.55735294,4/9/2005,null,null,,,,,,,,,,,,,,,
null,-45.09033613,5/24/2005,null,null,,,,,,,,,,,,,,,
null,-36.68292484,8/2/2005,null,null,,,,,,,,,,,,,,,
null,-27.73128342,9/27/2005,null,null,,,,,,,,,,,,,,,
null,-20.27139037,11/24/2005,null,null,,,,,,,,,,,,,,,
null,-15.42245989,1/21/2006,null,null,,,,,,,,,,,,,,,
null,-18.94518717,3/20/2006,null,null,,,,,,,,,,,,,,,
null,null,3/26/2006,0,0,,,,,,,,,,,,,,,
70.16214363,null,4/1/2006,null,null,,,,,,,,,,,,,,,
null,-28.54831933,5/6/2006,null,null,,,,,,,,,,,,,,,
null,-46.24632353,7/11/2006,null,null,,,,,,,,,,,,,,,
null,-55.23263305,8/27/2006,null,null,,,,,,,,,,,,,,,
null,-61.73682598,10/12/2006,null,null,,,,,,,,,,,,,,,
