localdata,globaldata,date,x,y,localylabel,globalylabel,annotation,title,imgsrctext,imgsrcurl,localdatasrctext,localdatasrcurl,globaldatasrctext,globaldatasrcurl,moreinfo
null,105,12/31/92,null,null,Megawatts,Megawatts,,Solar photovoltaic capacity,NASA Earth Observatory,http://earthobservatory.nasa.gov/IOTD/view.php?id=86060&src=eoa-iotd,,,,,
null,130,12/31/93,null,null,,,,,,,,,,,
null,158,12/31/94,null,null,,,,,,,,,,,
null,192,12/31/95,null,null,,,,,,,,,,,
null,309,12/31/96,null,null,,,,,,,,,,,
null,422,12/31/97,null,null,,,,,,,,,,,
null,566,12/31/98,null,null,,,,,,,,,,,
16,807,12/31/99,null,null,,,,,,,,,,,
19,1250,12/31/00,null,null,,,,,,,,,,,
23.5,1615,12/31/01,null,null,,,,,,,,,,,
42,2069,12/31/02,null,null,,,,,,,,,,,
52,2635,12/31/03,null,null,,,,,,,,,,,
62,3723,12/31/04,null,null,,,,,,,,,,,
70,5112,12/31/05,null,null,,,,,,,,,,,
80,6660,12/31/06,null,null,,,,,,,,,,,
100,9183,12/31/07,null,null,,,,,,,,,,,
140,15844,12/31/08,null,null,,,,,,,,,,,
300,23185,12/31/09,null,null,,,,,,,,,,,
800,40336,12/31/10,null,null,,,,,,,,,,,
3300,70469,12/31/11,null,null,,,,,,,,,,,
null,null,10/15/12,0,0,,,,,,,,,,,
8300,100504,12/31/12,null,null,,,,,,,,,,,
17800,138856,12/31/13,null,null,,,,,,,,,,,
28199,178391,12/31/14,null,null,,,,,,,,,,,
null,null,5/22/15,-720,0,,,,,,,,,,,
43180,233000,12/31/15,null,null,,,,,,,,,,,
