fake_data,date,x,y
4.646272787,03/25/1999,0,0
2.442117602,04/20/2000,-720,0
6.135718481,04/23/2001,0,-480
8.421077992,05/12/2002,-720,-480
1.793043436,04/13/2003,0,-960
8.962989139,05/01/2004,-720,-960
7.593723789,04/02/2005,-1440,0
9.018606208,04/26/2006,-1440,-480
3.193154426,05/17/2007,-1440,-960
0.939118783,04/26/2008,0,-1440
8.947049912,04/13/2009,-720,-1440
2.886995153,04/07/2010,-1440,-1440
9.909626631,05/05/2011,-2160,0
2.650410789,04/20/2012,-2160,-480
3.291021652,04/26/2013,-2160,-960
9.512666335,05/13/2014,-2160,-1440
2.982977731,04/14/2015,0,-1920
