 SUMMARY07.MONTHLY.MASS.DAT
 DOI: 10.3334/CDIAC/ffe.MonthlyMass.2015
  All values should be zero or positive.
  Mass units are 10^6 metric tonnes C (Tg C).                                    
 year  mingrid  maxgrid  gridsum
 1950   0.0      2.7     129.78
 1951   0.0      2.7     136.62
 1952   0.0      2.7     140.19
 1953   0.0      2.7     144.47
 1954   0.0      2.5     148.35
 1955   0.0      2.8     162.06
 1956   0.0      2.9     169.87
 1957   0.0      2.9     179.41
 1958   0.0      2.7     179.93
 1959   0.0      2.8     190.76
 1960   0.0      3.0     202.21
 1961   0.0      2.9     202.24
 1962   0.0      2.9     206.14
 1963   0.0      3.1     217.70
 1964   0.0      3.3     232.81
 1965   0.0      3.5     243.21
 1966   0.0      3.6     256.09
 1967   0.0      3.7     260.66
 1968   0.0      3.8     273.67
 1969   0.0      4.0     293.80
 1970   0.0      4.4     320.57
 1971   0.0      4.2     328.55
 1972   0.0      4.5     347.63
 1973   0.0      4.7     365.47
 1974   0.0      4.6     365.80
 1975   0.0      4.4     366.29
 1976   0.0      4.6     385.34
 1977   0.0      4.6     391.40
 1978   0.0      4.8     407.22
 1979   0.0      4.9     421.68
 1980   0.0      4.7     416.93
 1981   0.0      4.7     412.30
 1982   0.0      4.3     406.75
 1983   0.0      4.4     410.21
 1984   0.0      4.4     421.59
 1985   0.0      4.5     437.94
 1986   0.0      4.6     449.28
 1987   0.0      4.9     465.52
 1988   0.0      4.9     476.97
 1989   0.0      4.9     481.22
 1990   0.0      4.9     475.02
 1991   0.0      6.6     489.75
 1992   0.0      5.0     481.72
 1993   0.0      5.2     486.24
 1994   0.0      5.1     485.79
 1995   0.0      5.2     496.04
 1996   0.0      5.2     510.93
 1997   0.0      5.5     517.83
 1998   0.0      5.7     512.35
 1999   0.0      5.7     519.55
 2000   0.0      5.6     526.01
 2001   0.0      5.8     538.58
 2002   0.0      5.9     549.83
 2003   0.0      5.9     575.80
 2004   0.0      5.9     603.09
 2005   0.0      6.0     620.49
 2006   0.0      6.0     647.70
 2007   0.0      5.9     658.59
 2008   0.0      5.8     678.76
 2009   0.0      5.3     670.31
 2010   0.0      5.7     702.71
 2011   0.0      5.5     726.51
