 SUMMARY03.MONTHLY.MASS.DAT
 DOI: 10.3334/CDIAC/ffe.MonthlyMass.2015
  All values should be zero or positive.
  Mass units are 10^6 metric tonnes C (Tg C).                                    
 year  mingrid  maxgrid  gridsum
 1950   0.0      2.6     138.44
 1951   0.0      2.7     148.10
 1952   0.0      2.6     148.79
 1953   0.0      2.7     157.98
 1954   0.0      2.6     156.00
 1955   0.0      2.8     170.40
 1956   0.0      3.0     183.26
 1957   0.0      2.9     186.19
 1958   0.0      3.0     196.84
 1959   0.0      3.0     205.42
 1960   0.0      3.0     217.85
 1961   0.0      3.0     217.59
 1962   0.0      3.3     229.67
 1963   0.0      3.4     238.10
 1964   0.0      3.4     244.46
 1965   0.0      3.6     262.97
 1966   0.0      3.8     274.77
 1967   0.0      3.9     281.93
 1968   0.0      4.1     297.67
 1969   0.0      4.3     317.95
 1970   0.0      4.6     339.63
 1971   0.0      4.7     361.83
 1972   0.0      4.7     367.14
 1973   0.0      5.2     397.27
 1974   0.0      4.8     396.32
 1975   0.0      4.5     388.94
 1976   0.0      4.8     413.25
 1977   0.0      5.1     429.48
 1978   0.0      5.3     449.20
 1979   0.0      5.2     459.26
 1980   0.0      5.0     453.36
 1981   0.0      4.8     440.11
 1982   0.0      4.6     445.00
 1983   0.0      4.5     444.92
 1984   0.0      4.8     463.93
 1985   0.0      4.7     477.60
 1986   0.0      4.8     481.82
 1987   0.0      4.9     499.25
 1988   0.0      5.2     519.45
 1989   0.0      5.3     532.20
 1990   0.0      5.0     517.67
 1991   0.0     10.9     536.67
 1992   0.0      5.1     519.16
 1993   0.0      5.5     534.11
 1994   0.0      5.4     531.96
 1995   0.0      5.3     538.52
 1996   0.0      5.5     555.14
 1997   0.0      5.5     542.81
 1998   0.0      5.7     546.61
 1999   0.0      5.8     561.60
 2000   0.0      5.8     569.67
 2001   0.0      6.0     582.25
 2002   0.0      5.8     579.56
 2003   0.0      5.9     615.09
 2004   0.0      5.9     651.51
 2005   0.0      6.2     670.75
 2006   0.0      6.0     688.58
 2007   0.0      5.9     703.09
 2008   0.0      6.0     718.65
 2009   0.0      5.6     713.69
 2010   0.0      5.7     746.38
 2011   0.0      5.6     775.15
