fake_data,date,x,y
4.646272787,07/23/1984,-720,0
2.442117602,09/28/1985,0,-480
6.135718481,08/14/1986,-720,-480
8.421077992,09/18/1987,0,-960
1.793043436,09/04/1988,-720,-960
8.962989139,08/06/1989,-1440,0
7.593723789,07/24/1990,-1440,-480
9.018606208,07/27/1991,-1440,-960
3.193154426,07/13/1992,0,-1440
0.939118783,08/17/1993,-720,-1440
8.947049912,07/26/1994,-1440,-1440
2.886995153,09/24/1995,-2160,0
9.909626631,06/22/1996,-2160,-480
2.650410789,08/12/1997,-2160,-960
3.291021652,07/05/1998,-2160,-1440
9.512666335,06/15/1999,0,-1920
2.982977731,09/13/2000,0,0
1.768443476,08/07/2001,-720,-1920
4.269783881,09/11/2002,-1440,-1920
8.196581674,09/30/2003,-2160,-1920
1.023624029,06/28/2004,0,-2400
0.901487011,10/05/2005,-720,-2400
2.658451808,08/21/2006,-1440,-2400
0.221831732,07/30/2007,-2160,-2400
9.151745991,07/25/2008,-2880,0
3.213409593,09/14/2009,-2880,-480
1.880798933,10/03/2010,-2880,-960
3.391517292,05/15/2011,-2880,-1440
