localdata,globaldata,date,x,y,localylabel,globalylabel,annotation,title,intro,imgsrc,datasrc,fastfacts,moreinfo,moreinfosrc
170.6574726,170.6574726,1/1/70,null,null,Carbon intensity (g CO2 equivalent/ MJ on a higher heating value basis of reformulated gasoline consumed in an automobile),Global label,,Greenhouse gas emissions,Add intro here,http://earthobservatory.nasa.gov/Features/WorldOfChange/athabasca.php,http://stacks.iop.org/ERL/8/044036,,,
165.4072691,165.4072691,1/31/70,null,null,,,,,,,,,,
167.5180769,167.5180769,3/2/70,null,null,,,,,,,,,,
166.591007,166.591007,4/2/70,null,null,,,,,,,,,,
168.0333285,168.0333285,5/2/70,null,null,,,,,,,,,,
168.7535316,168.7535316,6/2/70,null,null,,,,,,,,,,
164.3767658,164.3767658,7/2/70,null,null,,,,,,,,,,
164.3269645,164.3269645,8/1/70,null,null,,,,,,,,,,
161.1339367,161.1339367,9/1/70,null,null,,,,,,,,,,
162.4728248,162.4728248,10/1/70,null,null,,,,,,,,,,
160.1570656,160.1570656,11/1/70,null,null,,,,,,,,,,
161.3408035,161.3408035,12/1/70,null,null,,,,,,,,,,
160.4654504,160.4654504,1/1/71,null,null,,,,,,,,,,
157.3777714,157.3777714,1/31/71,null,null,,,,,,,,,,
161.4940382,161.4940382,3/2/71,null,null,,,,,,,,,,
157.8393909,157.8393909,4/2/71,null,null,,,,,,,,,,
156.5522195,156.5522195,5/2/71,null,null,,,,,,,,,,
154.288177,154.288177,6/2/71,null,null,,,,,,,,,,
152.7443375,152.7443375,7/2/71,null,null,,,,,,,,,,
151.9724178,151.9724178,8/2/71,null,null,,,,,,,,,,
149.3961596,149.3961596,9/1/71,null,null,,,,,,,,,,
146.4099986,146.4099986,10/1/71,null,null,,,,,,,,,,
145.4848441,145.4848441,11/1/71,null,null,,,,,,,,,,
142.1385816,142.1385816,12/1/71,null,null,,,,,,,,,,
139.8228224,139.8228224,1/1/72,null,null,,,,,,,,,,
138.535651,138.535651,1/31/72,null,null,,,,,,,,,,
133.026864,133.026864,3/2/72,null,null,,,,,,,,,,
131.5864579,131.5864579,4/1/72,null,null,,,,,,,,,,
130.4525212,130.4525212,5/1/72,null,null,,,,,,,,,,
128.1884787,128.1884787,6/1/72,null,null,,,,,,,,,,
127.054542,127.054542,7/1/72,null,null,,,,,,,,,,
126.7978739,126.7978739,8/1/72,null,null,,,,,,,,,,
126.4377724,126.4377724,8/31/72,null,null,,,,,,,,,,
125.7673706,125.7673706,10/1/72,null,null,,,,,,,,,,
126.4894891,126.4894891,10/31/72,null,null,,,,,,,,,,
126.6427237,126.6427237,11/30/72,null,null,,,,,,,,,,
131.0712062,131.0712062,12/31/72,null,null,,,,,,,,,,
131.3795911,131.3795911,1/30/73,null,null,,,,,,,,,,
131.0712062,131.0712062,3/2/73,null,null,,,,,,,,,,
131.8948427,131.8948427,4/1/73,null,null,,,,,,,,,,
134.1588852,134.1588852,5/2/73,null,null,,,,,,,,,,
134.5707034,134.5707034,6/1/73,null,null,,,,,,,,,,
134.2623186,134.2623186,7/1/73,null,null,,,,,,,,,,
135.4977733,135.4977733,8/1/73,null,null,,,,,,,,,,
134.930805,134.930805,8/31/73,null,null,,,,,,,,,,
134.7258536,134.7258536,12/31/73,null,null,,,,,,,,,,
134.4174688,134.4174688,1/30/74,null,null,,,,,,,,,,
133.3869655,133.3869655,3/2/74,null,null,,,,,,,,,,
131.0712062,131.0712062,4/1/74,null,null,,,,,,,,,,
130.760906,130.760906,5/2/74,null,null,,,,,,,,,,
131.9465594,131.9465594,6/1/74,null,null,,,,,,,,,,
132.2549442,132.2549442,7/1/74,null,null,,,,,,,,,,
130.7091893,130.7091893,8/1/74,null,null,,,,,,,,,,
129.8874683,129.8874683,8/31/74,null,null,,,,,,,,,,
130.8126227,130.8126227,10/1/74,null,null,,,,,,,,,,
134.1588852,134.1588852,10/31/74,null,null,,,,,,,,,,
