localdata,globaldata,date,x,y,localylabel,globalylabel,annotation,title,intro,imgsrc,datasrc,fastfacts,moreinfo,moreinfosrc
6.458823529,12.91764706,1/1/1979,0,0,Arctic sea ice area (million sq km),Arctic sea ice area (million sq km),Satellite measurements of Arctic sea ice begin,Arctic Sea Ice Decline,These images show annual minimum Arctic sea ice cover from 1979 to 2015.,http://climate.nasa.gov/interactives/climate-time-machine,http://svs.gsfc.nasa.gov/,The Arctic is the fastest warming region in the world.,"Stroeve et al. (2007) ""Arctic sea ice decline: Faster than forecast""",http://onlinelibrary.wiley.com/doi/10.1029/2007GL029703/full
7.023529412,14.04705882,1/1/1980,null,null,,,,,,,,Climate models predict that the Arctic will be sea ice-free in the summer by the 2030s.,What is the ice-albedo feedback?,http://climate.nasa.gov/resources/education/pbs_modules/lesson2Engage/
6.411764706,12.82352941,1/1/1981,-720,0,,,,,,,,,,
6.670588235,13.34117647,1/1/1982,null,null,,,,,,,,,,
6.788235294,13.57647059,1/1/1983,0,-405,,,,,,,,,,
6.211764706,12.42352941,1/1/1984,null,null,,,,,,,,,,
6.141176471,12.28235294,1/1/1985,-720,-405,,,,,,,,,,
6.658823529,13.31764706,1/1/1986,null,null,,,,,,,,,,
6.223529412,12.44705882,1/1/1987,0,-810,,,,,,,,,,
6.505882353,13.01176471,1/1/1988,null,null,,,,,,,,,,
6.258823529,12.51764706,1/1/1989,-720,-810,,,,,,,,,,
5.635294118,11.27058824,1/1/1990,null,null,,,,,,,,,,
5.729411765,11.45882353,1/1/1991,-1440,0,,,,,,,,,,
6.505882353,13.01176471,1/1/1992,null,null,,,,,,,,,,
5.470588235,10.94117647,1/1/1993,-1440,-405,,,,,,,,,,
6.294117647,12.58823529,1/1/1994,null,null,,,,,,,,,,
5.552941176,11.10588235,1/1/1995,-1440,-810,,,,,,,,,,
6.752941176,13.50588235,1/1/1996,null,null,,,,,,,,,,
6.129411765,12.25882353,1/1/1997,0,-1215,,,,,,,,,,
5.611764706,11.22352941,1/1/1998,null,null,,,,,,,,,,
5.2,10.4,1/1/1999,-720,-1215,,,,,,,,,,
5.505882353,11.01176471,1/1/2000,null,null,,,,,,,,,,
5.882352941,11.76470588,1/1/2001,-1440,-1215,,,,,,,,,,
5.129411765,10.25882353,1/1/2002,null,null,,,,,,,,,,
5.388235294,10.77647059,1/1/2003,0,-1620,,,,,,,,,,
5.4,10.8,1/1/2004,null,null,,,,,,,,,,
4.952941176,9.905882353,1/1/2005,-720,-1620,,,,,,,,,,
5.176470588,10.35294118,1/1/2006,null,null,,,,,,,,,,
3.729411765,7.458823529,1/1/2007,-1440,-1620,,,"On August 21, the Northwest Passage became open to ships without the help of an icebreaker",,,,,,,
3.976470588,7.952941176,1/1/2008,null,null,,,,,,,,,,
4.564705882,9.129411765,1/1/2009,-2160,0,,,,,,,,,,
4.058823529,8.117647059,1/1/2010,null,null,,,,,,,,,,
3.682352941,7.364705882,1/1/2011,-2160,-405,,,"Arctic sea ice reaches a minimum extent of 3.41 million sq km, a record low since satellite measurements began",,,,,,,
3.447058824,6.894117647,1/1/2012,-2160,-810,,,,,,,,,,
3.447058824,6.894117647,1/1/2013,-2160,-1215,,,"Ice greater than 4 years old accounted for only 7% of all Arctic sea ice, compared to 26% in 1988",,,,,,,
3.447058824,6.894117647,1/1/2014,null,null,,,,,,,,,,
3.447058824,6.894117647,1/1/2015,-2160,-1620,,,,,,,,,,
