localdata,globaldata,date,ymin,ymax,x,y,totalimgwidth,totalimgheight,singleimgwidth,singleimgheight,localylabel,globalylabel,annotation,title,imgsrctext,imgsrcurl,localdatasrctext,localdatasrcurl,globaldatasrctext,globaldatasrcurl,moreinfo
6.458823529,23.95744681,1/1/1979,null,null,0,0,2880,2025,720,405,Arctic sea ice area (million sq km),Global sea ice area (million sq km),"In 1979, satellite measurements of Arctic sea ice begin.",Sea ice decline,NASA Climate Time Machine,http://climate.nasa.gov/interactives/climate-time-machine,NASA SVS,http://svs.gsfc.nasa.gov/,"Journal of Climate 27, 2014",http://dx.doi.org/10.1175/JCLI-D-14-00605.1,The Arctic is the fastest warming region in the world. Climate models predict that the Arctic will be sea ice-free in the summer by the 2030s.
7.023529412,23.53191489,1/1/1980,,,null,null,,,,,,,,,,,,,Global sea ice coverage from satellite data: Annual cycle and 35-yr trends,,
6.411764706,23.53191489,1/1/1981,,,-720,0,,,,,,,,,,,,,,,
6.670588235,24.06382979,1/1/1982,,,null,null,,,,,,,,,,,,,,,
6.788235294,23.68085106,1/1/1983,,,0,-405,,,,,,,,,,,,,,,
6.211764706,23.31914894,1/1/1984,,,null,null,,,,,,,,,,,,,,,
6.141176471,23.53191489,1/1/1985,,,-720,-405,,,,,,,,,,,,,,,
6.658823529,23.23404255,1/1/1986,,,null,null,,,,,,,,,,,,,,,
6.223529412,23.59574468,1/1/1987,,,0,-810,,,,,,,,,,,,,,,
6.505882353,23.61702128,1/1/1988,,,null,null,,,,,,,,,,,,,,,
6.258823529,23.38297872,1/1/1989,,,-720,-810,,,,,,,,,,,,,,,
5.635294118,23.08510638,1/1/1990,,,null,null,,,,,,,,,,,,,,,
5.729411765,23.27659574,1/1/1991,,,-1440,0,,,,,,,,,,,,,,,
6.505882353,23.5106383,1/1/1992,,,null,null,,,,,,,,,,,,,,,
5.470588235,23.34042553,1/1/1993,,,-1440,-405,,,,,,,,,,,,,,,
6.294117647,23.76595745,1/1/1994,,,null,null,,,,,,,,,,,,,,,
5.552941176,23.21276596,1/1/1995,,,-1440,-810,,,,,,,,,,,,,,,
6.752941176,23.59574468,1/1/1996,,,null,null,,,,,,,,,,,,,,,
6.129411765,23.04255319,1/1/1997,,,0,-1215,,,,,,,,,,,,,,,
5.611764706,23.5106383,1/1/1998,,,null,null,,,,,,,,,,,,,,,
5.2,23.42553191,1/1/1999,,,-720,-1215,,,,,,,,,,,,,,,
5.505882353,23.25531915,1/1/2000,,,null,null,,,,,,,,,,,,,,,
5.882352941,23.27659574,1/1/2001,,,-1440,-1215,,,,,,,,,,,,,,,
5.129411765,22.57446809,1/1/2002,,,null,null,,,,,,,,,,,,,,,
5.388235294,23.34042553,1/1/2003,,,0,-1620,,,,,,,,,,,,,,,
5.4,23.21276596,1/1/2004,,,null,null,,,,,,,,,,,,,,,
4.952941176,22.61702128,1/1/2005,,,-720,-1620,,,,,,,,,,,,,,,
5.176470588,22.23404255,1/1/2006,,,null,null,,,,,,,,,,,,,,,
3.729411765,22.19148936,1/1/2007,,,-1440,-1620,,,,,,,"On August 21, the Northwest Passage became open to ships without the help of an icebreaker.",,,,,,,,
3.976470588,23.23404255,1/1/2008,,,null,null,,,,,,,,,,,,,,,
4.564705882,22.9787234,1/1/2009,,,-2160,0,,,,,,,,,,,,,,,
4.058823529,22.78723404,1/1/2010,,,null,null,,,,,,,,,,,,,,,
3.682352941,21.95744681,1/1/2011,,,-2160,-405,,,,,,,"Arctic sea ice reaches a minimum extent of 3.41 million sq km, a record low since satellite measurements began.",,,,,,,,
3.447058824,22.40425532,1/1/2012,,,-2160,-810,,,,,,,,,,,,,,,
null,23.40425532,1/1/2013,,,-2160,-1215,,,,,,,"Ice greater than 4 years old accounted for only 7% of all Arctic sea ice, compared to 26% in 1988.",,,,,,,,
null,null,1/1/2014,,,null,null,,,,,,,,,,,,,,,
null,null,1/1/2015,,,-2160,-1620,,,,,,,,,,,,,,,
