localdata,globaldata,ymin,ymax,date,x,y,totalimgwidth,totalimgheight,singleimgwidth,singleimgheight,localylabel,globalylabel,annotation,title,imgsrctext,imgsrcurl,localdatasrctext,localdatasrcurl,globaldatasrctext,globaldatasrcurl,moreinfo
24.74812845,28.00658522,15,30,5/1/1985,null,null,1516,555,758,555,Coral cover of the sector North of the great barrier reef (in %),Coral cover of all the great barrier reef (in %),,Coral Bleaching,XL Catlin Seaview Survey,http://catlinseaviewsurvey.com/,Australian Institute of Marine Science,http://www.aims.gov.au/-/05-april-condition-of-great-barrier-reef-corals-before-the-mass-bleaching-event-in-2016,"PNAS 109 (44), 2012",www.pnas.org/cgi/doi/10.1073/pnas.1208909109 ,"Based on the world's most extensive time series data on reef condition (2,258 surveys of 214 reefs over 1985 to 2012), the article from which the data is drawn has shown a major decline in coral cover from 28.0% to 13.8%, a loss of 50.7% of initial coral cover. While the North part of the reef has had the highest coral cover percentage for a long time, it is now the most heavily hit by the bleaching. The XL Catlin Seaview Survey is a unique global study dedicated to monitoring the change in coral reef and communicating it to the world."
25.48976478,27.38215724,,,5/1/1986,null,null,,,,,,,,,,,,,,,
25.74787031,25.79063361,,,5/1/1987,null,null,,,,,,,,,,,,,,,
25.8264039,24.45564738,,,5/1/1988,null,null,,,,,,,,,,,,,,,
25.69989405,23.35134562,,,5/1/1989,null,null,,,,,,,,,,,,,,,
25.29133291,22.50188599,,,5/1/1990,null,null,,,,,,,,,,,,,,,
24.78020767,22.57694427,,,5/1/1991,null,null,,,,,,,,,,,,,,,
24.4742954,22.80601822,,,5/1/1992,null,null,,,,,,,,,,,,,,,
24.57855478,22.75999152,,,5/1/1993,null,null,,,,,,,,,,,,,,,
24.93930918,23.13778343,,,5/1/1994,null,null,,,,,,,,,,,,,,,
25.17168892,23.49502013,,,5/1/1995,null,null,,,,,,,,,,,,,,,
25.17338419,23.80101716,,,5/1/1996,null,null,,,,,,,,,,,,,,,
25.14943844,24.02992159,,,5/1/1997,null,null,,,,,,,,,,,,,,,
25.27950837,24.02822632,,,5/1/1998,null,null,,,,,,,,,,,,,,,
25.71710108,23.87276965,,,5/1/1999,null,null,,,,,,,,,,,,,,,
26.15460903,23.43517694,,,5/1/2000,null,null,,,,,,,,,,,,,,,
26.2588684,22.89493537,,,5/1/2001,null,null,,,,,,,,,,,,,,,
25.77338419,22.32922229,,,5/1/2002,null,null,,,,,,,,,,,,,,,
24.90336936,21.68650138,,,5/1/2003,null,null,,,,,,,,,,,,,,,
23.87950837,21.04361093,,,5/1/2004,null,null,,,,,,,,,,,,,,,
23.16325493,20.4778131,,,5/1/2005,null,null,,,,,,,,,,,,,,,
22.80589108,19.9890231,,,5/1/2006,null,null,,,,,,,,,,,,,,,
23.01271456,19.4488239,,,5/1/2007,null,null,,,,,,,,,,,,,,,
23.75799958,18.78041958,,,5/1/2008,null,null,,,,,,,,,,,,,,,
24.78542064,18.03517694,,,5/1/2009,null,null,,,,,,,,,,,,,,,
25.42814156,17.18728544,,,5/1/2010,null,null,,,,,,,,,,,,,,,
25.27599068,16.54447976,,,5/1/2011,null,null,,,,,,,,,,,,,,,
24.45717313,16.56842551,,,5/1/2012,null,null,,,,,,,,,,,,,,,
23.07425302,17.13091757,,,5/1/2013,null,null,,,,,,,,,,,,,,,
21.4862047,18.25742742,,,5/1/2014,null,null,,,,,,,,,,,,,,,
19.74431024,19.64034753,,,5/1/2015,null,null,,,,,,,,,,,,,,,
null,null,,,3/1/2016,-758,0,,,,,,,"Coral are bleaching, which happens when the water is too warm for too long. The great barrier rief in general is facing a global major bleaching since 2015.",,,,,,,,
null,null,,,5/1/2016,0,0,,,,,,,The coral has completely died due to a long period of bleaching.,,,,,,,,
